,Store_Number,County,Sale_total_month
432,4126,Johnson,5443.14
433,4129,Story,19373.49
434,4130,Van Buren,1123.38
435,4131,Polk,5909.13
436,4132,Clinton,3537.66
437,4133,Hamilton,986.98
438,4134,Marion,1544.92
439,4135,Polk,1251.48
440,4136,Polk,3404.34
441,4137,Dallas,2943.92
442,4138,Warren,2148.52
443,4140,Polk,3916.32
444,4141,Polk,1040.1
445,4143,Chickasaw,790.5
446,4146,Bremer,2092.25
447,4147,Black Hawk,5419.97
448,4148,Buchanan,2487.56
449,4149,Crawford,2606.34
450,4150,Black Hawk,2167.16
451,4152,Harrison,3861.49
452,4153,Black Hawk,1444.36
453,4154,Linn,1937.15
454,4155,Linn,1405.0
455,4156,Fayette,5412.63
456,4157,Johnson,7664.53
457,4158,Carroll,3701.94
458,4159,Pottawattamie,10578.24
459,4160,Johnson,1597.83
460,4161,Johnson,1692.51
461,4162,Linn,6339.1
462,4163,Buena Vista,6166.0
463,4164,Scott,3947.25
464,4165,Polk,1855.17
465,4166,Buchanan,1864.67
466,4167,Dubuque,49909.26
467,4169,Polk,1912.59
468,4170,Cedar,841.14
469,4171,Dubuque,3829.88
470,4172,Hardin,2193.27
471,4173,O'Brien,1199.28
472,4176,Linn,2496.84
473,4177,Marshall,1545.2
474,4180,Linn,4293.85
475,4182,Dubuque,2554.79
476,4183,Winneshiek,6600.45
477,4184,Muscatine,3136.23
478,4185,Poweshiek,5220.18
479,4186,Polk,1786.61
480,4189,Delaware,3283.12
481,4190,Greene,1422.14
482,4191,Marion,10534.19
483,4192,Scott,868.92
484,4193,O'Brien,1742.31
485,4194,Jasper,2354.51
486,4195,Tama,1725.43
487,4196,Scott,3286.13
488,4197,Woodbury,3502.71
489,4200,Woodbury,1645.27
490,4201,Woodbury,2929.11
491,4202,Woodbury,2278.47
492,4203,Bremer,3070.12
493,4204,Clinton,1310.98
494,4205,Marshall,3599.09
495,4209,Polk,13367.28
496,4210,Buena Vista,258.72
497,4214,Black Hawk,5237.3
498,4222,Black Hawk,2512.92
499,4223,Black Hawk,1968.42
500,4228,Benton,4804.8
501,4229,Shelby,1826.2
502,4230,Polk,1655.72
503,4231,Plymouth,2521.68
504,4232,Appanoose,812.34
505,4233,Howard,4542.48
506,4234,Clay,2315.38
507,4235,Hamilton,3113.54
508,4236,Wright,2621.56
509,4239,Dickinson,4808.52
510,4246,Page,2162.98
511,4247,Wright,2857.68
512,4248,O'Brien,199.8
513,4249,Page,880.17
514,4250,Hardin,6398.82
515,4251,Story,3599.75
516,4252,Jones,2254.03
517,4253,Madison,2634.57
518,4254,Palo Alto,2483.63
519,4255,Sioux,16407.0
520,4256,Sioux,2672.97
521,4258,Des Moines,1536.65
522,4260,Clarke,4503.9
523,4265,Black Hawk,7139.5
524,4266,Page,1545.36
525,4267,Cass,1187.69
526,4268,Kossuth,1472.71
527,4269,Cedar,13124.97
528,4271,Appanoose,1656.96
529,4272,Emmet,1199.1
530,4273,Polk,4211.53
531,4274,Palo Alto,644.9
532,4275,Marion,1701.3
533,4277,Plymouth,6819.68
534,4279,Keokuk,515.67
535,4283,Linn,1025.49
536,4284,Hardin,2129.25
537,4285,Chickasaw,1942.94
538,4289,Allamakee,1635.28
539,4291,Union,7988.12
540,4293,Wapello,1090.77
541,4295,Polk,312.82
542,4296,Van Buren,2252.59
543,4297,Linn,2802.84
544,4298,Tama,1025.16
545,4299,Linn,1633.13
546,4300,Mahaska,4545.5
547,4301,Polk,4579.48
548,4303,Des Moines,2319.91
549,4306,Franklin,1198.38
550,4307,Harrison,2709.88
551,4308,Johnson,1102.7
552,4310,Cherokee,2007.39
553,4311,Webster,5277.62
554,4312,Pottawattamie,31699.03
555,4313,Cass,4750.82
556,4315,Washington,746.88
557,4317,Adair,2832.74
558,4318,Montgomery,2757.27
559,4319,Humboldt,1406.61
560,4320,Boone,4640.62
561,4321,Floyd,799.27
562,4324,Webster,1840.02
563,4325,Montgomery,807.37
564,4326,Hamilton,1256.69
565,4334,Dubuque,5211.63
566,4336,Lyon,1080.36
567,4337,Lyon,1986.83
568,4338,Marshall,94.2
569,4343,Polk,2244.01
570,4344,Polk,4559.5
571,4345,Poweshiek,3373.9
572,4346,Benton,2128.92
573,4351,Cerro Gordo,438.0
574,4353,Cerro Gordo,1099.05
575,4355,Story,549.4
576,4356,Story,231.18
577,4357,Story,1760.1
578,4358,Wright,666.66
579,4359,Dallas,1249.3
580,4360,Jasper,838.12
581,4361,Polk,1824.89
582,4362,Polk,1690.26
583,4364,Poweshiek,563.02
584,4365,Poweshiek,145.52
585,4366,Johnson,947.87
586,4367,Cerro Gordo,433.26
587,4368,Polk,737.89
588,4369,Warren,1361.99
589,4370,Warren,1537.35
590,4371,Polk,1451.82
591,4372,Cerro Gordo,1173.36
592,4373,Polk,1884.66
593,4374,Polk,985.76
594,4375,Polk,1264.34
595,4376,Cerro Gordo,2038.07
596,4377,Polk,1223.32
597,4378,Dallas,989.58
598,4379,Polk,1732.77
599,4380,Cedar,658.23
600,4382,Polk,1379.87
601,4384,Dallas,1533.61
602,4385,Warren,479.94
603,4387,Dickinson,870.52
604,4388,Polk,666.53
605,4392,Polk,2117.19
606,4393,Polk,523.55
607,4395,Hamilton,1184.64
608,4396,Grundy,321.81
609,4397,Polk,834.45
610,4398,Wright,1733.52
611,4401,Linn,931.17
612,4402,Washington,2870.56
613,4404,Polk,878.85
614,4405,Polk,1698.43
615,4406,Polk,1337.57
616,4408,Boone,857.61
617,4409,Boone,636.77
618,4410,Boone,1229.67
619,4411,Dallas,1139.38
620,4412,Cedar,163.55
621,4413,Louisa,681.96
622,4414,Pottawattamie,1084.11
623,4415,Hardin,840.14
624,4416,Guthrie,1082.97
625,4417,Adair,731.16
626,4418,Pottawattamie,1543.84
627,4419,Decatur,505.31
628,4420,Wapello,838.6
629,4421,Franklin,623.25
630,4424,Des Moines,903.82
631,4426,Marshall,6856.47
632,4427,Johnson,978.27
633,4428,Story,2228.82
634,4429,Jasper,1306.62
635,4430,Webster,245.01
636,4431,Webster,481.37
637,4433,Polk,1273.54
638,4434,Lyon,1795.85
639,4435,Pottawattamie,584.88
640,4436,Story,1788.06
641,4437,Story,1642.55
642,4438,Story,1085.34
643,4439,Linn,1617.7
644,4440,Pottawattamie,855.12
645,4443,Linn,1237.62
646,4444,Woodbury,1444.04
647,4445,Hamilton,755.88
648,4446,Polk,2609.65
649,4447,Polk,2271.38
650,4448,Polk,461.73
651,4449,Polk,489.42
652,4450,Polk,849.75
653,4451,Hamilton,1471.68
654,4452,Woodbury,2467.51
655,4453,Winnebago,2251.34
656,4454,Woodbury,231.12
657,4455,Hardin,726.67
658,4456,Johnson,1075.77
659,4457,Johnson,1231.54
660,4458,Polk,438.8
661,4459,Wright,1713.8
662,4461,Polk,1619.87
663,4462,Winnebago,1094.31
664,4463,Hancock,3741.77
665,4464,Scott,1281.51
666,4466,Fayette,2224.92
667,4467,Muscatine,1154.0
668,4468,Muscatine,669.79
669,4470,Black Hawk,535.11
670,4471,Black Hawk,1112.52
671,4472,Appanoose,1659.95
672,4473,Guthrie,1578.42
673,4474,Pottawattamie,1342.27
674,4475,Pottawattamie,935.97
675,4476,Pottawattamie,1576.2
676,4477,Pottawattamie,454.37
677,4478,Polk,5651.89
678,4480,Clinton,1225.4
679,4481,Johnson,3068.3
680,4482,Warren,1622.8
681,4485,O'Brien,1657.51
682,4487,Linn,1150.26
683,4489,Linn,517.68
684,4490,Linn,1710.49
685,4491,Linn,1065.42
686,4492,Linn,596.43
687,4493,Linn,1611.18
688,4495,Grundy,1932.1
689,4496,Linn,1930.58
690,4498,Buchanan,278.52
691,4499,Dickinson,356.64
692,4500,Johnson,538.92
693,4501,Jefferson,581.55
694,4502,Black Hawk,3414.96
695,4503,Pottawattamie,562.94
696,4504,Warren,2005.74
697,4505,Polk,1208.64
698,4506,Johnson,1452.17
699,4508,Clay,892.44
700,4509,Story,14710.64
701,4510,Mills,913.68
702,4511,Polk,940.65
703,4512,Black Hawk,490.44
704,4513,Polk,182.3
705,4514,Webster,1417.6
706,4515,Wright,190.32
707,4516,Pottawattamie,1533.0
708,4517,Linn,1266.36
709,4518,Polk,1177.5
710,4519,Polk,1572.96
711,4520,Story,1210.2
712,4521,Greene,1003.5
713,4522,Jasper,372.16
714,4523,Audubon,338.34
715,4524,Floyd,119.22
716,4525,Plymouth,1154.13
717,4527,Humboldt,298.8
718,4528,Marshall,90.0
719,4529,Winnebago,238.8
720,4530,Linn,585.21
721,4531,Union,538.32
722,4532,Buena Vista,221.28
723,4533,Mitchell,648.42
724,4535,Dubuque,834.84
725,4536,Dubuque,604.25
726,4537,Decatur,1237.64
727,4538,Butler,539.16
728,4539,Greene,959.01
729,4540,Jackson,551.0
730,4541,Clinton,175.2
731,4542,Pocahontas,289.8
732,4543,Linn,689.22
733,4544,Clarke,138.6
734,4545,Pottawattamie,1976.08
735,4546,Carroll,551.4
736,4547,Franklin,2240.13
737,4548,Linn,277.68
738,4549,Story,755.16
739,4551,Benton,745.87
740,4552,Scott,1061.7
741,4553,Franklin,571.2
742,4554,Woodbury,469.89
743,4555,Lee,230.88
744,4556,Wright,1273.8
745,4557,Tama,1875.89
746,4558,Woodbury,2960.6
747,4559,Mitchell,2688.07
748,4560,Shelby,1158.93
749,4561,Black Hawk,1594.69
750,4562,Cedar,1158.6
751,4563,Sioux,712.34
752,4565,Woodbury,985.71
753,4566,Linn,2613.96
754,4568,Woodbury,3703.06
755,4569,O'Brien,954.18
756,4571,Butler,640.56
757,4573,Fremont,576.0
758,4575,Story,1285.53
759,4576,Dickinson,2569.92
760,4577,Dallas,704.25
761,4578,Van Buren,950.39
762,4580,Washington,1231.84
763,4582,Dickinson,793.04
764,4584,Butler,761.31
765,4585,Dubuque,552.12
766,4588,Woodbury,8367.13
767,4589,Osceola,933.43
768,4590,Black Hawk,747.0
769,4591,Wright,863.16
770,4592,Palo Alto,1233.72
771,4594,Polk,1009.29
772,4595,Polk,1170.8
773,4596,Polk,1647.51
774,4597,Polk,2031.27
775,4598,Polk,1085.82
776,4599,Polk,1366.49
777,4600,Polk,1097.53
778,4601,Polk,1219.84
779,4602,Mills,3481.52
780,4603,Polk,1230.21
781,4604,Jasper,5840.43
782,4605,Linn,975.68
783,4607,Clayton,1146.12
784,4608,Pottawattamie,1003.69
785,4609,Polk,835.97
786,4612,Scott,704.08
787,4613,Carroll,1163.37
788,4615,Cerro Gordo,8327.22
789,4617,Polk,6400.99
790,4619,Lee,3223.73
791,4620,Adair,2417.4
792,4621,Story,1094.94
793,4622,Polk,1944.77
794,4623,Dallas,407.52
795,4624,Linn,1152.78
796,4626,Pottawattamie,1297.32
797,4627,Jasper,593.88
798,4628,Fayette,2017.2
799,4629,Mills,1563.51
800,4630,Scott,2462.24
801,4631,Black Hawk,942.36
802,4633,Pottawattamie,1719.92
803,4634,Linn,465.4
804,4635,Linn,881.77
805,4636,Linn,2167.25
806,4637,Linn,1600.29
807,4638,Scott,4122.45
808,4640,Scott,3804.38
809,4641,Polk,2494.59
810,4642,Black Hawk,2963.26
811,4643,Montgomery,397.32
812,4644,Scott,3894.84
813,4645,Scott,529.5
814,4647,Black Hawk,1947.14
815,4648,Black Hawk,6671.43
816,4650,Kossuth,1137.84
817,4651,Hamilton,1029.58
818,4652,Scott,4823.66
819,4653,Greene,556.38
820,4654,Adair,1599.72
821,4655,Jasper,432.18
822,4656,Story,345.0
823,4657,Grundy,1053.54
824,4658,Hardin,516.72
825,4659,Grundy,443.52
826,4660,Linn,1483.71
827,4661,Polk,806.11
828,4662,Linn,1496.32
829,4663,Dubuque,787.78
830,4664,Boone,810.0
831,4665,Polk,2162.58
832,4667,Madison,878.64
833,4668,Cerro Gordo,2594.89
834,4669,Polk,2949.66
835,4670,Bremer,3676.84
836,4673,Lee,5355.36
837,4674,Story,1781.1
838,4675,Story,1993.48
839,4676,Woodbury,1933.9
840,4677,Johnson,14280.66
841,4678,Dallas,7575.77
842,4679,Linn,1166.7
843,4684,Warren,1800.03
844,4685,Dubuque,508.19
845,4686,Clinton,528.54
846,4687,Linn,1057.71
847,4688,Carroll,1141.14
848,4689,Lee,173.76
849,4690,Jackson,456.3
850,4692,Lee,591.0
851,4694,Scott,2303.31
852,4695,Polk,472.08
853,4696,Polk,1408.31
854,4697,Johnson,5188.1
855,4698,Jefferson,1435.11
856,4699,Scott,877.62
857,4700,Butler,978.96
858,4701,Boone,924.95
859,4702,Webster,301.8
860,4703,Woodbury,835.14
861,4704,Pottawattamie,1932.32
862,4705,Johnson,1348.8
863,4706,Clinton,188.16
864,4707,Clinton,193.26
865,4708,Mills,3574.26
866,4709,Story,1546.68
867,4710,Dubuque,1343.24
868,4711,Dubuque,1008.24
869,4712,Dubuque,1310.58
870,4713,Johnson,930.84
871,4714,Warren,605.16
872,4715,Polk,909.78
873,4716,Clay,372.84
874,4717,Scott,638.91
875,4718,Polk,1172.4
876,4719,Polk,822.6
877,4720,Lucas,1397.7
878,4721,Des Moines,806.28
879,4722,Des Moines,309.48
880,4723,Black Hawk,1664.7
881,4724,Jasper,865.14
882,4725,Polk,2032.52
883,4726,Polk,1838.68
884,4727,Polk,732.66
885,4728,Johnson,1112.94
886,4730,Polk,918.84
887,4731,Polk,2425.14
888,4732,Polk,731.52
889,4733,Polk,1406.16
890,4734,Polk,889.5
891,4735,Wapello,1485.0
892,4736,Linn,579.6
893,4737,Buena Vista,148.68
894,4738,Pottawattamie,1016.29
895,4739,Pottawattamie,618.6
896,4740,Pottawattamie,2343.12
897,4741,Pottawattamie,875.16
898,4742,Pottawattamie,249.12
899,4743,Pottawattamie,3691.45
900,4744,Linn,1111.8
901,4745,Linn,1131.54
902,4746,Muscatine,1441.2
903,4747,Scott,3849.3
904,4748,Scott,892.6
905,4749,Scott,622.32
906,4750,Scott,666.78
907,4751,Scott,582.3
908,4752,Des Moines,3532.34
909,4753,Adair,162.0
910,4754,Bremer,474.0
911,4755,Cerro Gordo,900.84
912,4756,Marshall,1255.98
913,4757,Polk,1947.75
914,4759,Black Hawk,350.88
915,4760,Black Hawk,509.1
916,4761,Black Hawk,294.84
917,4762,Winneshiek,2503.02
918,4764,Webster,3184.28
919,4765,Dubuque,406.66
920,4766,Dubuque,30.6
921,4767,Polk,636.59
922,4768,Polk,718.48
923,4769,Howard,1143.54
924,4770,Black Hawk,515.64
925,4771,Linn,1104.84
926,4773,Polk,1406.38
927,4774,Emmet,1402.77
928,4775,Humboldt,514.82
929,4777,O'Brien,161.49
930,4779,Ringgold,303.18
931,4780,Hancock,977.76
932,4781,Sac,532.02
933,4782,Decatur,1101.72
934,4783,Palo Alto,345.66
935,4785,Pottawattamie,2840.1
936,4786,Madison,242.24
937,4787,Johnson,1429.01
938,4788,Linn,851.28
939,4789,Marion,69.06
